"batsman","Total Runs","Total Boundary Runs","boundary_percentage","Total Seasons"
"SP Narine","892","724","81.16591928251121076200","9"
"AD Russell","1517","1194","78.70797626895187870800","8"
"CH Gayle","4772","3630","76.06873428331936295100","12"
"ST Jayasuriya","768","570","74.21875000000000000000","3"
"AC Gilchrist","2069","1508","72.88545190913484775300","6"
"V Sehwag","2728","1972","72.28739002932551319600","8"
"PC Valthaty","505","364","72.07920792079207920800","4"
"DR Smith","2385","1682","70.52410901467505241100","9"
"CA Lynn","1280","890","69.53125000000000000000","6"
"Harbhajan Singh","829","568","68.51628468033775633300","12"
